name,parent
2020 Mixed orchard peach tree contender,Plantings
2020 Mixed orchard pear tree asian,Plantings
2020 Mixed orchard pear tree european,Plantings
2020 North slope  peas snow,Plantings
"2020 North Slope beets chiogga, guardsmark",Plantings
2020 North Slope broccoli belstar,Plantings
2020 north slope bush beans mixed,Plantings
2020 North Slope bush beans mixed,Plantings
2020 North Slope cilantro,Plantings
2020 North Slope cucumber marketmore,Plantings
2020 North Slope cucumber pickling,Plantings
2020 north slope dill,Plantings
2020 North Slope flower amaranth greens,Plantings
2020 North Slope flower amaranth greens,Plantings
2020 North Slope flower autumn beauty,Plantings
2020 North Slope flower bachelor button,Plantings
2020 North Slope flower cosmos,Plantings
2020 North Slope flower cress,Plantings
2020 North Slope flower giant purple zinnia,Plantings
2020 North Slope flower peach strawflower,Plantings
2020 North Slope flower pincushion scabiosa,Plantings
2020 North Slope flower strawflower,Plantings
2020 North Slope flower velvet queen,Plantings
2020 North Slope flower white finch,Plantings
2020 North Slope flower zinnias mixed,Plantings
2020 North Slope flowers cosmos,Plantings
2020 North Slope Kale curly green,Plantings
2020 North Slope lettuce dragoon,Plantings
2020 North Slope lettuce ezbruke,Plantings
2020 North Slope lettuce flashy troutback,Plantings
2020 North Slope lettuce green salad bowl,Plantings
2020 North Slope lettuce marciano,Plantings
2020 North Slope lettuce marciano,Plantings
2020 North Slope sweet potato covington,Plantings
2020 North Slope tomatoes mixed,Plantings
2020 North Slope turnips purple top,Plantings
2020 outside 75 footer Arugula,Plantings
2020 Perennial Patch  Beach Plum,Plantings
2020 Perennial Patch  Beach Plum,Plantings
2020 Poor drainage beets chioggia,Plantings
2020 Poor drainage beets mixed,Plantings
2020 Poor drainage bush bean dragons tongue,Plantings
2020 poor drainage bush bean ez pick,Plantings
2020 Poor drainage carrot romance,Plantings
2020 Poor drainage carrot romance,Plantings
2020 Poor drainage Cilantro Santo,Plantings
2020 Poor Drainage Kale Mixed,Plantings
2020 Poor drainage lettuce ezbruke,Plantings
2020 Poor drainage lettuce mixed,Plantings
2020 Poor drainage lettuce parris island,Plantings
2020 Poor Drainage lettuce red oakleaf,Plantings
2020 Poor drainage peas snow,Plantings
2020 Poor drainage summer squash yellow crookneck,Plantings
2020 Poor drainage Tomatillo verde,Plantings
2020 Poor drainage winter squash butternut,Plantings
2020 Poor drainage winter squash delicata,Plantings
2020 poor drainage zucchini dark green,Plantings
2020 Propagation house basil thai,Plantings
2020 Propagation house beets boro,Plantings
2020 Propagation house cauliflower graffiti,Plantings
2020 Propagation house chard bright lights,Plantings
2020 Propagation house Cilantro Santo,Plantings
2020 Propagation house Cilantro Santo,Plantings
2020 Propagation house cucumber marketmore,Plantings
2020 Propagation house cucumber national pickling,Plantings
2020 Propagation house flower amaranth greens,Plantings
2020 Propagation house flower amaranth greens,Plantings
2020 Propagation house flower bachelor button,Plantings
2020 Propagation house flower bachelor button,Plantings
2020 Propagation House flower calendula,Plantings
2020 Propagation house flower calendula,Plantings
2020 Propagation house flower calendula,Plantings
2020 Propagation house flower chinese forget me not,Plantings
2020 Propagation house flower giant marigold,Plantings
2020 Propagation house flower giant marigold,Plantings
2020 Propagation house flower giant purple zinnia,Plantings
2020 Propagation house flower globe amaranth,Plantings
2020 Propagation house flower gomphrena,Plantings
2020 Propagation house flower pincushion scabiosa,Plantings
2020 Propagation house flower pincushion scabiosa,Plantings
2020 Propagation house flower pincushion scabiosa,Plantings
2020 Propagation house flower rudbeckia gloriosa,Plantings
2020 Propagation house flower rudbeckia triloba,Plantings
2020 Propagation house flower rudbeckia triloba,Plantings
2020 Propagation house flower rudbeckia triloba,Plantings
2020 Propagation house flower sea oats,Plantings
2020 Propagation house flower snapdragon,Plantings
2020 Propagation house flower sun ball,Plantings
2020 Propagation house flower white finch,Plantings
2020 Propagation house flower white finch,Plantings
2020 Propagation House leek comanche,Plantings
2020 Propagation house leeks takrima,Plantings
2020 Propagation house microgreens golden frills,Plantings
2020 Propagation house microgreens golden frills,Plantings
2020 Propagation house microgreens golden frills,Plantings
2020 Propagation house microgreens mild mix,Plantings
2020 Propagation house microgreens mild mix,Plantings
2020 Propagation house microgreens mild mix,Plantings
2020 Propagation house microgreens mustard greens,Plantings
2020 Propagation house microgreens radish,Plantings
2020 Propagation house microgreens radish,Plantings
2020 Propagation house microgreens radish,Plantings
2020 Propagation house microgreens radish,Plantings
2020 Propagation house microgreens radish,Plantings
2020 Propagation house microgreens ruby streaks,Plantings
2020 Propagation house microgreens ruby streaks,Plantings
2020 Propagation house microgreens ruby streaks,Plantings
2020 Propagation house onion cabernet,Plantings
2020 Propagation house parsley giant of italy,Plantings
2020 Propagation house scallions parade,Plantings
2020 Propagation house shallots matador,Plantings
2020 Propagation house sunflower mix,Plantings
2020 Propagation house sunflower moulin rouge,Plantings
2020 Propagation house sunflower ring of fire,Plantings
2020 Propagation house sunflower soraya,Plantings
2020 Rickter Hayfield Perennials,Plantings
2020 Ropes Hayfield Perennials,Plantings
2020 Smith Hayfield Perennials,Plantings
2020 The L bush bean mixed,Plantings
2020 The L potato kennebec,Plantings
2020 The L potato magic molly,Plantings
2020 The L potato norland red,Plantings
2020 top lettuce ezbruke,Plantings
2020 Top of Hill beets chioggia,Plantings
2020 Top of Hill beets red,Plantings
2020 Top of Hill beets red,Plantings
2020 Top of Hill beets red,Plantings
2020 Top of Hill beets touchstone gold,Plantings
2020 Top of Hill cabbage green,Plantings
2020 Top of Hill cabbage red express,Plantings
2020 Top of Hill Carrots early Napoli,Plantings
2020 Top of Hill carrots purple haze,Plantings
2020 Top of Hill carrots yellowstone,Plantings
2020 Top of Hill chard rainbow blend,Plantings
2020 top of hill cilantro leisure,Plantings
2020 Top of Hill Cilantro Santo,Plantings
2020 Top of Hill lettuce alkindas,Plantings
2020 Top of Hill lettuce alkindas,Plantings
2020 Top of Hill lettuce alkindas,Plantings
2020 Top of Hill lettuce ezbruke,Plantings
2020 Top of Hill lettuce ezbruke,Plantings
2020 Top of Hill lettuce lolla rossi,Plantings
2020 top of hill lettuce lolla rossi,Plantings
2020 Top of Hill lettuce mirlo,Plantings
2020 Top of Hill lettuce nancy,Plantings
2020 Top of Hill lettuce nancy,Plantings
2020 Top of Hill lettuce nancy,Plantings
2020 Top of Hill lettuce pariss island,Plantings
2020 Top of Hill lettuce parris island,Plantings
2020 Top of Hill lettuce red cross,Plantings
2020 Top of Hill onion alisa craig,Plantings
2020 Top of Hill onion new york early,Plantings
2020 Top of Hill parsley,Plantings
2020 Top of Hill squash crookneck,Plantings
2020 Top of Hill squash spaghetti,Plantings
2020 Top of Hill summer squash pattypan,Plantings
2020 Top of Hill summer squash yellowfin,Plantings
2020 Top of Hill winter squash acorn,Plantings
2020 Top of Hill winter squash acorn,Plantings
2020 Top of Hill winter squash butternut,Plantings
2020 Top of Hill winter squash delicata,Plantings
2020 Top of Hill winter squash delicata,Plantings
2020 Top of Hill winter squash kabocha,Plantings
2020 Top of Hill winter squash sweet meat,Plantings
"2020 Top of Hill, North Slope peas sugar snap",Plantings
2020 Ulrichson Hayfield Perennials,Plantings
2020 Vivi's Hayfield Perennials,Plantings
2020 Ward Hayfield Perennials,Plantings
2020 Watkins Hayfield Perennials,Plantings
2020 Wedding Hayfield Perennials,Plantings
2020 West Bay Hayfield Perennials,Plantings
2020 Wishcamper Hayfield Perennials,Plantings
2021 Field 1 Arugula,Plantings
carrot 8/5/20 pinot_noir,Plantings
potato 8/14/20 caco,Plantings
Bale wrapper 3 pt hitch 30 in roll,Equipments
CHUCK WAGON 4 wheel hay ride wagon,Equipments
Cultivator (6ft),Equipments
Ford 3600,Equipments
Ford 5600,Equipments
Ford Dump Truck,Equipments
Hay Ride Wagon,Equipments
JD 5510,Equipments
JD 6125,Equipments
JD Hydra Push 450 Rear Discharge Spreader,Equipments
JD MX7 7 ft Rotary Cutter,Equipments
JD Square Baler,Equipments
Kuhn Rotary Rake,Equipments
"Kuhn Rototiller 6""",Equipments
Kuhn Small Side Slinger,Equipments
Land Pride PD35 3pt Post Hole Auger,Equipments
mcGann round bale hauler trailer wooden deck,Equipments
Moldboard Plow,Equipments
NH 648 Round Baler Silage Special,Equipments
Seeder (Culti-Packer/Grass Seeder),Equipments
stafix fence charger 12 joule,Equipments
stafix fence charger 18 joule,Equipments
Thomas Wagon,Equipments
a2_esp32_001,Sensors
Artisan's Circuitpython Test,Sensors
Artisan's Depth Test EPA,Sensors
Campbell data logger,Sensors
